Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-12-30 00:00:00-05:00,4.519999980926514,4.550000190734863,4.043000221252441,4.369999885559082,995000,0.0,0.0
2025-01-06 00:00:00-05:00,4.449999809265137,5.139999866485596,4.050000190734863,5.079999923706055,1597000,0.0,0.0
2025-01-13 00:00:00-05:00,5.099999904632568,6.28000020980835,4.409999847412109,5.739999771118164,2238300,0.0,0.0
2025-01-20 00:00:00-05:00,5.829999923706055,5.829999923706055,4.559999942779541,4.760000228881836,1138100,0.0,0.0
2025-01-27 00:00:00-05:00,4.5,4.59499979019165,3.8480000495910645,3.9700000286102295,909100,0.0,0.0
2025-02-03 00:00:00-05:00,3.9000000953674316,4.269999980926514,3.740000009536743,4.050000190734863,674400,0.0,0.0
2025-02-10 00:00:00-05:00,4.070000171661377,4.267000198364258,3.75,4.0,540700,0.0,0.0
2025-02-17 00:00:00-05:00,3.9800000190734863,4.269999980926514,3.009999990463257,3.119999885559082,1006500,0.0,0.0
2025-02-24 00:00:00-05:00,3.119999885559082,3.640000104904175,3.069999933242798,3.4700000286102295,1434000,0.0,0.0
2025-03-03 00:00:00-05:00,3.5199999809265137,3.812000036239624,3.069999933242798,3.690000057220459,559600,0.0,0.0
2025-03-10 00:00:00-04:00,3.609999895095825,3.609999895095825,3.069999933242798,3.299999952316284,351300,0.0,0.0
2025-03-17 00:00:00-04:00,3.309999942779541,3.700000047683716,3.309999942779541,3.5999999046325684,237100,0.0,0.0
2025-03-24 00:00:00-04:00,3.690000057220459,3.809000015258789,2.8399999141693115,3.109999895095825,353600,0.0,0.0
2025-03-31 00:00:00-04:00,3.1600000858306885,3.1700000762939453,2.380000114440918,2.549999952316284,603100,0.0,0.0
2025-04-07 00:00:00-04:00,2.440000057220459,2.5980000495910645,1.996999979019165,2.3299999237060547,407200,0.0,0.0
2025-04-14 00:00:00-04:00,2.319999933242798,2.3299999237060547,1.9800000190734863,2.0999999046325684,467500,0.0,0.0
2025-04-21 00:00:00-04:00,2.1500000953674316,2.7100000381469727,2.0999999046325684,2.630000114440918,396500,0.0,0.0
2025-04-28 00:00:00-04:00,2.690000057220459,2.880000114440918,2.5299999713897705,2.7300000190734863,328900,0.0,0.0
2025-05-05 00:00:00-04:00,2.700000047683716,3.0199999809265137,2.5,3.0,278500,0.0,0.0
2025-05-12 00:00:00-04:00,3.069999933242798,3.3289999961853027,2.4700000286102295,2.5399999618530273,747000,0.0,0.0
2025-05-19 00:00:00-04:00,2.5299999713897705,2.5299999713897705,1.9800000190734863,2.2799999713897705,910000,0.0,0.0
2025-05-26 00:00:00-04:00,2.2799999713897705,2.549999952316284,2.240000009536743,2.4200000762939453,465500,0.0,0.0
2025-06-02 00:00:00-04:00,2.359999895095825,2.4700000286102295,2.1600000858306885,2.2300000190734863,495100,0.0,0.0
2025-06-09 00:00:00-04:00,2.119999885559082,2.299999952316284,2.0299999713897705,2.140000104904175,717500,0.0,0.0
2025-06-16 00:00:00-04:00,2.1500000953674316,2.9000000953674316,2.119999885559082,2.799999952316284,1016900,0.0,0.0
2025-06-23 00:00:00-04:00,2.880000114440918,3.9100000858306885,2.7130000591278076,3.2799999713897705,2383200,0.0,0.0
2025-06-30 00:00:00-04:00,3.240000009536743,4.679999828338623,3.109999895095825,4.429999828338623,30522300,0.0,0.0
2025-07-07 00:00:00-04:00,4.380000114440918,7.949999809265137,4.130000114440918,6.820000171661377,5506900,0.0,0.0
2025-07-14 00:00:00-04:00,6.75,7.400000095367432,5.260000228881836,5.820000171661377,1786900,0.0,0.0
